TimeSample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
ALE1,23.33333333,30,16.66666667,23.33333333,10,6.666666667,0,0,3.333333333,0,0,0,0,3.333333333,0,3.333333333,0,0,3.333333333,0,0,0,0,3.333333333,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0
ALE2,0,13.33333333,16.66666667,10,3.333333333,13.33333333,10,13.33333333,3.333333333,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALE3,6.666666667,6.666666667,16.66666667,13.33333333,23.33333333,33.33333333,0,3.333333333,10,16.66666667,53.33333333,26.66666667,16.66666667,36.66666667,10,40,6.666666667,10,0,3.333333333,3.333333333,3.333333333,6.666666667,3.333333333,0,0,0,0,0,0,10,0,0,0,0
ALE4,0,3.333333333,63.33333333,50,103.3333333,103.3333333,70,63.33333333,86.66666667,46.66666667,40,16.66666667,10,16.66666667,3.333333333,10,13.33333333,6.666666667,3.333333333,6.666666667,20,23.33333333,26.66666667,50,23.33333333,26.66666667,13.33333333,3.333333333,20,26.66666667,3.333333333,20,0,3.333333333,0
ALE5,0,10,23.33333333,20,20,26.66666667,13.33333333,40,13.33333333,46.66666667,13.33333333,20,13.33333333,10,20,30,3.333333333,20,6.666666667,0,3.333333333,0,13.33333333,0,3.333333333,0,0,13.33333333,0,0,0,0,0,0,0
AHE1,83.33333333,80,133.3333333,90,126.6666667,83.33333333,26.66666667,23.33333333,10,13.33333333,6.666666667,13.33333333,166.6666667,136.6666667,26.66666667,0,6.666666667,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHE2,56.66666667,90,66.66666667,100,30,36.66666667,10,6.666666667,3.333333333,16.66666667,10,10,3.333333333,3.333333333,10,16.66666667,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHE3,10,33.33333333,100,80,70,53.33333333,30,30,20,10,13.33333333,20,16.66666667,13.33333333,13.33333333,10,10,10,3.333333333,3.333333333,0,0,0,6.666666667,3.333333333,0,0,0,0,0,0,0,0,0,0
AHE4,3.333333333,3.333333333,96.66666667,96.66666667,153.3333333,60,106.6666667,33.33333333,56.66666667,46.66666667,16.66666667,46.66666667,30,16.66666667,3.333333333,6.666666667,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHE5,0,3.333333333,20,40,66.66666667,80,123.3333333,76.66666667,86.66666667,43.33333333,16.66666667,13.33333333,0,0,3.333333333,10,10,0,0,0,0,0,6.666666667,33.33333333,20,0,0,3.333333333,0,10,3.333333333,0,0,0,0
BLE1,13.33333333,20,20,23.33333333,16.66666667,13.33333333,3.333333333,10,0,3.333333333,3.333333333,0,3.333333333,3.333333333,3.333333333,0,6.666666667,3.333333333,0,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
BLE2,13.33333333,6.666666667,3.333333333,23.33333333,6.666666667,0,0,0,0,0,0,0,23.33333333,20,13.33333333,3.333333333,3.333333333,0,10,6.666666667,3.333333333,10,0,3.333333333,0,0,10,3.333333333,16.66666667,3.333333333,3.333333333,3.333333333,0,3.333333333,0
BLE3,0,26.66666667,40,36.66666667,40,66.66666667,10,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLE4,6.666666667,26.66666667,16.66666667,26.66666667,26.66666667,30,6.666666667,6.666666667,3.333333333,0,3.333333333,3.333333333,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLE5,0,3.333333333,23.33333333,33.33333333,63.33333333,53.33333333,50,6.666666667,10,13.33333333,3.333333333,10,13.33333333,3.333333333,6.666666667,0,6.666666667,3.333333333,10,6.666666667,10,3.333333333,0,0,3.333333333,0,0,0,0,6.666666667,6.666666667,3.333333333,0,0,0
BHE1,96.66666667,83.33333333,80,93.33333333,56.66666667,40,6.666666667,10,13.33333333,20,30,6.666666667,16.66666667,13.33333333,0,3.333333333,6.666666667,20,46.66666667,40,13.33333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
BHE2,36.66666667,93.33333333,83.33333333,100,103.3333333,76.66666667,63.33333333,46.66666667,23.33333333,20,13.33333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHE3,10,110,153.3333333,133.3333333,100,66.66666667,66.66666667,60,16.66666667,26.66666667,40,13.33333333,10,26.66666667,10,20,6.666666667,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHE4,6.666666667,13.33333333,140,183.3333333,200,70,70,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHE5,0,0,6.666666667,16.66666667,20,63.33333333,3.333333333,6.666666667,10,3.333333333,20,6.666666667,13.33333333,0,3.333333333,16.66666667,20,40,16.66666667,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE1,30,26.66666667,10,36.66666667,33.33333333,16.66666667,3.333333333,0,0,3.333333333,3.333333333,0,10,3.333333333,3.333333333,6.666666667,3.333333333,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE2,46.66666667,33.33333333,33.33333333,53.33333333,26.66666667,23.33333333,23.33333333,10,6.666666667,3.333333333,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE3,3.333333333,3.333333333,16.66666667,20,26.66666667,26.66666667,16.66666667,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE4,3.333333333,3.333333333,20,66.66666667,70,53.33333333,73.33333333,86.66666667,83.33333333,56.66666667,40,23.33333333,6.666666667,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE5,0,3.333333333,20,73.33333333,96.66666667,63.33333333,96.66666667,30,20,16.66666667,20,13.33333333,23.33333333,23.33333333,16.66666667,20,6.666666667,3.333333333,0,0,0,0,0,23.33333333,20,6.666666667,10,0,10,3.333333333,0,13.33333333,13.33333333,3.333333333,3.333333333
CHE1,110,76.66666667,133.3333333,76.66666667,96.66666667,73.33333333,56.66666667,13.33333333,0,0,6.666666667,56.66666667,90,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE2,76.66666667,106.6666667,100,153.3333333,110,56.66666667,40,13.33333333,3.333333333,0,3.333333333,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE3,10,63.33333333,86.66666667,96.66666667,90,93.33333333,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE4,3.333333333,10,33.33333333,53.33333333,70,70,20,6.666666667,6.666666667,6.666666667,16.66666667,6.666666667,6.666666667,16.66666667,3.333333333,3.333333333,0,0,3.333333333,3.333333333,0,0,13.33333333,0,0,0,0,0,3.333333333,0,0,0,0,0,0
CHE5,0,0,30,53.33333333,23.33333333,63.33333333,50,3.333333333,16.66666667,20,6.666666667,13.33333333,6.666666667,13.33333333,6.666666667,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLE1,13.33333333,6.666666667,13.33333333,23.33333333,10,20,3.333333333,0,3.333333333,0,13.33333333,23.33333333,16.66666667,13.33333333,10,13.33333333,20,13.33333333,0,10,20,23.33333333,3.333333333,3.333333333,3.333333333,10,3.333333333,16.66666667,3.333333333,6.666666667,0,0,0,0,0
DLE2,30,36.66666667,36.66666667,33.33333333,23.33333333,30,23.33333333,23.33333333,13.33333333,6.666666667,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLE3,6.666666667,26.66666667,26.66666667,16.66666667,26.66666667,16.66666667,10,6.666666667,6.666666667,0,3.333333333,0,16.66666667,30,13.33333333,6.666666667,16.66666667,6.666666667,0,3.333333333,0,0,0,0,0,6.666666667,0,0,0,0,0,0,0,0,0
DLE4,3.333333333,20,23.33333333,6.666666667,16.66666667,13.33333333,6.666666667,3.333333333,3.333333333,3.333333333,0,6.666666667,0,10,6.666666667,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DLE5,3.333333333,10,20,30,20,50,3.333333333,13.33333333,0,0,3.333333333,0,0,0,0,0,6.666666667,16.66666667,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHE1,120,110,70,100,66.66666667,53.33333333,3.333333333,10,10,13.33333333,10,6.666666667,13.33333333,3.333333333,3.333333333,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHE2,116.6666667,136.6666667,100,116.6666667,90,70,10,6.666666667,13.33333333,20,10,3.333333333,3.333333333,6.666666667,3.333333333,3.333333333,0,0,16.66666667,3.333333333,3.333333333,3.333333333,0,0,0,0,10,3.333333333,6.666666667,0,0,0,0,0,0
DHE3,6.666666667,40,113.3333333,106.6666667,80,60,0,0,0,33.33333333,23.33333333,43.33333333,23.33333333,33.33333333,33.33333333,23.33333333,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHE4,0,16.66666667,93.33333333,76.66666667,70,106.6666667,6.666666667,3.333333333,23.33333333,33.33333333,20,10,46.66666667,23.33333333,23.33333333,10,3.333333333,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHE5,0,3.333333333,26.66666667,73.33333333,66.66666667,40,0,3.333333333,6.666666667,20,23.33333333,13.33333333,20,6.666666667,10,3.333333333,16.66666667,16.66666667,0,0,0,0,3.333333333,3.333333333,0,0,0,26.66666667,10,3.333333333,0,0,0,0,0
ELE1,50,73.33333333,110,63.33333333,83.33333333,60,20,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0
ELE2,33.33333333,133.3333333,100,96.66666667,163.3333333,123.3333333,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELE3,0,46.66666667,30,33.33333333,50,46.66666667,13.33333333,3.333333333,6.666666667,33.33333333,33.33333333,16.66666667,10,0,3.333333333,6.666666667,13.33333333,23.33333333,16.66666667,23.33333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELE4,0,40,83.33333333,126.6666667,136.6666667,130,116.6666667,70,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELE5,0,6.666666667,23.33333333,16.66666667,30,40,20,23.33333333,6.666666667,6.666666667,10,13.33333333,10,3.333333333,3.333333333,13.33333333,6.666666667,6.666666667,23.33333333,3.333333333,13.33333333,10,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0
EHE1,73.33333333,100,116.6666667,133.3333333,116.6666667,36.66666667,16.66666667,10,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHE2,123.3333333,126.6666667,96.66666667,113.3333333,83.33333333,83.33333333,53.33333333,10,0,0,16.66666667,86.66666667,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHE3,20,76.66666667,83.33333333,126.6666667,83.33333333,110,50,6.666666667,3.333333333,6.666666667,13.33333333,6.666666667,6.666666667,3.333333333,3.333333333,0,3.333333333,0,0,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
EHE4,0,26.66666667,106.6666667,156.6666667,130,166.6666667,140,113.3333333,30,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHE5,0,10,53.33333333,73.33333333,80,173.3333333,66.66666667,46.66666667,0,3.333333333,13.33333333,10,0,0,10,16.66666667,3.333333333,0,0,3.333333333,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0
FLE1,6.666666667,46.66666667,46.66666667,53.33333333,60,56.66666667,26.66666667,26.66666667,30,3.333333333,3.333333333,10,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLE2,3.333333333,20,10,40,13.33333333,13.33333333,0,0,6.666666667,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLE3,16.66666667,70,53.33333333,50,60,76.66666667,50,60,46.66666667,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLE4,6.666666667,10,23.33333333,33.33333333,20,33.33333333,16.66666667,3.333333333,0,20,50,26.66666667,6.666666667,3.333333333,3.333333333,0,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLE5,0,10,6.666666667,10,13.33333333,16.66666667,30,33.33333333,16.66666667,3.333333333,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHE1,43.33333333,106.6666667,36.66666667,60,26.66666667,46.66666667,63.33333333,53.33333333,20,13.33333333,6.666666667,6.666666667,23.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHE2,70,110,116.6666667,90,70,96.66666667,63.33333333,20,16.66666667,6.666666667,10,0,3.333333333,3.333333333,46.66666667,13.33333333,16.66666667,6.666666667,0,0,0,3.333333333,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0
FHE3,3.333333333,36.66666667,56.66666667,76.66666667,63.33333333,53.33333333,50,36.66666667,33.33333333,16.66666667,30,13.33333333,13.33333333,6.666666667,3.333333333,30,6.666666667,3.333333333,16.66666667,3.333333333,3.333333333,0,3.333333333,0,0,0,0,6.666666667,16.66666667,0,0,0,0,0,0
FHE4,0,50,73.33333333,63.33333333,90,96.66666667,36.66666667,13.33333333,36.66666667,3.333333333,16.66666667,70,43.33333333,20,46.66666667,40,20,13.33333333,16.66666667,10,36.66666667,16.66666667,16.66666667,13.33333333,3.333333333,0,0,3.333333333,6.666666667,6.666666667,0,10,0,20,6.666666667
FHE5,0,13.33333333,36.66666667,46.66666667,56.66666667,80,33.33333333,30,16.66666667,3.333333333,3.333333333,0,13.33333333,6.666666667,0,0,10,13.33333333,16.66666667,13.33333333,6.666666667,16.66666667,26.66666667,13.33333333,0,10,0,0,16.66666667,13.33333333,6.666666667,3.333333333,3.333333333,13.33333333,3.333333333
