TimeSample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
ALE2,824.4444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALE3,1236.666667,0,0,0,0,0,0,0,36.66666667,0,0,0,0,10,3.333333333,0,0,6.666666667,3.333333333,83.33333333,306.6666667,286.6666667,173.3333333,13.33333333,6.666666667,6.666666667,30,173.3333333,236.6666667,86.66666667,0,0,3.333333333,357.7777778,434.4444444
ALE4,2951.111111,2800,562.2222222,0,0,0,10,56.66666667,0,3.333333333,3.333333333,0,0,0,0,43.33333333,0,0,0,0,3.333333333,6.666666667,0,0,0,0,33.33333333,273.3333333,6.666666667,0,0,0,0,173.3333333,236.6666667
ALE5,1291.111111,910,0,0,0,0,6.666666667,0,0,0,0,0,86.66666667,176.6666667,0,0,0,0,6.666666667,10,6.666666667,3.333333333,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0
AHE1,3.333333333,0,0,0,0,0,0,0,0,0,16.66666667,83.33333333,0,0,0,3.333333333,153.3333333,715.5555556,638.8888889,817.7777778,573.3333333,434.4444444,812.2222222,2150,1098.888889,1456.666667,1686.666667,1277.777778,1175.555556,996.6666667,766.6666667,281.1111111,146.6666667,73.33333333,106.6666667
AHE2,476.6666667,0,0,10,0,0,6.666666667,0,0,0,0,3.333333333,70,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,10,0,0
AHE3,4426.666667,1098.888889,0,0,0,0,6.666666667,3.333333333,0,0,0,0,6.666666667,3.333333333,0,0,0,690,332.2222222,613.3333333,716.6666667,573.3333333,525.5555556,1003.333333,1098.888889,613.3333333,1047.777778,741.1111111,843.3333333,587.7777778,485.5555556,332.2222222,80,30,6.666666667
AHE4,4921.111111,2870,1303.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0
AHE5,4348.888889,3220,3010,1003.333333,0,0,0,0,0,0,0,0,383.3333333,383.3333333,485.5555556,76.66666667,3.333333333,13.33333333,26.66666667,60,764.4444444,716.6666667,812.2222222,0,0,0,80,166.6666667,103.3333333,3.333333333,0,26.66666667,3.333333333,120,156.6666667
BLE2,3.333333333,10,6.666666667,0,0,0,0,0,0,715.5555556,860,1624.444444,281.1111111,0,0,33.33333333,3.333333333,0,0,0,0,3.333333333,0,10,6.666666667,3.333333333,56.66666667,0,0,0,3.333333333,6.666666667,10,0,0
BLE3,2490,0,0,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLE4,1567.777778,408.8888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33333333,0,0,0,0,0
BLE5,1383.333333,1911.111111,1003.333333,0,0,0,0,0,0,0,3.333333333,0,0,3.333333333,6.666666667,16.66666667,26.66666667,20,13.33333333,13.33333333,0,0,0,6.666666667,16.66666667,13.33333333,1003.333333,1330,860,971.1111111,0,3.333333333,6.666666667,193.3333333,103.3333333
