Date_(M/D/Y),Experiment_Day,Jar_#,Jar_ID,Temperature_Cycle,Temperature_Cycle_Day,Temperature_Cycle_Total_Days,Temperature_Cycle_Number,Temperature_C,Enrichment_(gPP/L),Sample_Volume_(mL),Dilution_Volume_(mL),Sub_Sample_Volume_(mL),E.patella_abundance_(#protists),Diluted_E.patella_(yes/no),T.pyriformis_abundance_(#protists),Diluted_T.pyriformis_(yes/no),E.patella_Density_(#protists/mL),T.pyriformis_Density_(#protists/mL)
06/10/20,1,14,AHE1,A,2,16,1,22,0.4,0.3,0.0,N/A,25,NO,1,NO,83.33333333,3.333333333
06/10/20,1,15,AHE2,A,2,16,1,22,0.4,0.3,3.0,0.3,17,NO,13,YES,56.66666667,476.6666667
06/10/20,1,16,AHE3,A,2,16,1,22,0.4,0.3,8.0,0.3,3,NO,48,YES,10,4426.666667
06/10/20,1,17,AHE4,A,2,16,1,22,0.4,0.3,10.0,0.3,1,NO,43,YES,3.333333333,4921.111111
06/10/20,1,18,AHE5,A,2,16,1,22,0.4,0.3,10.0,0.3,0,NO,38,YES,0,4348.888889
06/10/20,1,10,AHT1,A,2,16,1,22,0.4,0.3,10.0,0.3,N/A,N/A,22,YES,N/A,2517.777778
06/10/20,1,11,AHT2,A,2,16,1,22,0.4,0.3,10.0,0.3,N/A,N/A,41,YES,N/A,4692.222222
06/10/20,1,12,AHT3,A,2,16,1,22,0.4,0.3,10.0,0.3,N/A,N/A,55,YES,N/A,6294.444444
06/10/20,1,13,AHT4,A,2,16,1,22,0.4,0.3,10.0,0.3,N/A,N/A,30,YES,N/A,3433.333333
06/10/20,1,5,ALE1,A,2,16,1,22,0.1,0.3,0.0,N/A,7,NO,0,NO,23.33333333,0
06/10/20,1,6,ALE2,A,2,16,1,22,0.1,0.3,5.0,0.3,0,NO,14,YES,0,824.4444444
06/10/20,1,7,ALE3,A,2,16,1,22,0.1,0.3,5.0,0.3,2,NO,21,YES,6.666666667,1236.666667
06/10/20,1,8,ALE4,A,2,16,1,22,0.1,0.3,8.0,0.3,0,NO,32,YES,0,2951.111111
06/10/20,1,9,ALE5,A,2,16,1,22,0.1,0.3,8.0,0.3,0,NO,14,YES,0,1291.111111
06/10/20,1,1,ALT1,A,2,16,1,22,0.1,0.3,8.0,0.3,N/A,N/A,22,YES,N/A,2028.888889
06/10/20,1,2,ALT2,A,2,16,1,22,0.1,0.3,8.0,0.3,N/A,N/A,31,YES,N/A,2858.888889
06/10/20,1,3,ALT3,A,2,16,1,22,0.1,0.3,8.0,0.3,N/A,N/A,17,YES,N/A,1567.777778
06/10/20,1,4,ALT4,A,2,16,1,22,0.1,0.3,8.0,0.3,N/A,N/A,44,YES,N/A,4057.777778
06/10/20,1,32,BHE1,B,2,20,1,22,0.4,0.3,0.0,N/A,29,NO,0,NO,96.66666667,0
06/10/20,1,33,BHE2,B,2,20,1,22,0.4,0.3,10.0,0.3,11,NO,12,YES,36.66666667,1373.333333
06/10/20,1,34,BHE3,B,2,20,1,22,0.4,0.3,10.0,0.3,3,NO,38,YES,10,4348.888889
06/10/20,1,35,BHE4,B,2,20,1,22,0.4,0.3,10.0,0.3,2,NO,34,YES,6.666666667,3891.111111
06/10/20,1,36,BHE5,B,2,20,1,22,0.4,0.3,10.0,0.3,0,NO,46,YES,0,5264.444444
06/10/20,1,28,BHT1,B,2,20,1,22,0.4,0.3,10.0,0.3,N/A,N/A,51,YES,N/A,5836.666667
06/10/20,1,29,BHT2,B,2,20,1,22,0.4,0.3,10.0,0.3,N/A,N/A,14,YES,N/A,1602.222222
06/10/20,1,30,BHT3,B,2,20,1,22,0.4,0.3,10.0,0.3,N/A,N/A,52,YES,N/A,5951.111111
06/10/20,1,31,BHT4,B,2,20,1,22,0.4,0.3,10.0,0.3,N/A,N/A,47,YES,N/A,5378.888889
06/10/20,1,23,BLE1,B,2,20,1,22,0.1,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
06/10/20,1,24,BLE2,B,2,20,1,22,0.1,0.3,0.0,N/A,4,NO,1,NO,13.33333333,3.333333333
06/10/20,1,25,BLE3,B,2,20,1,22,0.1,0.3,8.0,0.3,0,NO,27,YES,0,2490
06/10/20,1,26,BLE4,B,2,20,1,22,0.1,0.3,8.0,0.3,2,NO,17,YES,6.666666667,1567.777778
06/10/20,1,27,BLE5,B,2,20,1,22,0.1,0.3,8.0,0.3,0,NO,15,YES,0,1383.333333
06/10/20,1,19,BLT1,B,2,20,1,22,0.1,0.3,8.0,0.3,N/A,N/A,15,YES,N/A,1383.333333
06/10/20,1,20,BLT2,B,2,20,1,22,0.1,0.3,8.0,0.3,N/A,N/A,44,YES,N/A,4057.777778
06/10/20,1,21,BLT3,B,2,20,1,22,0.1,0.3,8.0,0.3,N/A,N/A,16,YES,N/A,1475.555556
06/10/20,1,22,BLT4,B,2,20,1,22,0.1,0.3,8.0,0.3,N/A,N/A,18,YES,N/A,1660
06/10/20,1,50,CHE1,C,2,24,1,22,0.4,0.3,0.0,N/A,33,NO,0,NO,110,0
06/12/20,3,50,CHE1,C,4,24,1,22,0.4,0.3,0.0,N/A,23,NO,0,NO,76.66666667,0
06/15/20,6,50,CHE1,C,7,24,1,22,0.4,0.3,0.0,N/A,40,NO,0,NO,133.3333333,0
06/17/20,8,50,CHE1,C,9,24,1,22,0.4,0.3,0.0,N/A,23,NO,0,NO,76.66666667,0
06/19/20,10,50,CHE1,C,11,24,1,22,0.4,0.3,0.0,N/A,29,NO,0,NO,96.66666667,0
06/10/20,1,46,CHT1,C,2,24,1,22,0.4,0.3,10.0,0.3,N/A,N/A,49,YES,N/A,5607.777778
06/10/20,1,47,CHT2,C,2,24,1,22,0.4,0.3,10.0,0.3,N/A,N/A,48,YES,N/A,5493.333333
06/10/20,1,48,CHT3,C,2,24,1,22,0.4,0.3,10.0,0.3,N/A,N/A,45,YES,N/A,5150
06/10/20,1,49,CHT4,C,2,24,1,22,0.4,0.3,10.0,0.3,N/A,N/A,54,YES,N/A,6180
06/22/20,13,50,CHE1,C,14,24,1,27,0.4,0.3,0.0,N/A,22,NO,0,NO,73.33333333,0
06/24/20,15,50,CHE1,C,16,24,1,27,0.4,0.3,0.0,N/A,17,NO,0,NO,56.66666667,0
06/26/20,17,50,CHE1,C,18,24,1,27,0.4,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
06/29/20,20,50,CHE1,C,21,24,1,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/01/20,22,50,CHE1,C,23,24,1,27,0.4,0.3,0.0,N/A,0,NO,41,NO,0,136.6666667
06/10/20,1,37,CLT1,C,2,24,1,22,0.1,0.3,8.0,0.3,N/A,N/A,21,YES,N/A,1936.666667
06/10/20,1,38,CLT2,C,2,24,1,22,0.1,0.3,8.0,0.3,N/A,N/A,15,YES,N/A,1383.333333
06/10/20,1,39,CLT3,C,2,24,1,22,0.1,0.3,8.0,0.3,N/A,N/A,16,YES,N/A,1475.555556
