Cycle,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
A,1.38620161,1.49136169383427,1.24715461,1.38620161,1.04139268515823,0.884606581,0,0,0.636822098,0,0,0,0,0.636822098,0,0.636822098,0,0,0.636822098,0,0,0,0,0.636822098,0.636822098,0.636822098,0,0,0,0,0,0,0,0,0
A,0,1.15634720,1.24715461,1.04139268515823,0.636822098,1.15634720,1.04139268515823,1.15634720,0.636822098,1.04139268515823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0.884606581,0.884606581,1.24715461,1.15634720,1.38620161,1.53571597,0,0.636822098,1.04139268515823,1.24715461,1.73506635,1.44195684,1.24715461,1.57595719,1.04139268515823,1.61278385671974,0.884606581,1.04139268515823,0,0.636822098,0.636822098,0.636822098,0.884606581,0.636822098,0,0,0,0,0,0,1.04139268515823,0,0,0,0
A,0,0.636822098,1.80843605,1.70757017609794,2.0184231,2.0184231,1.85125834871908,1.80843605,1.94283449,1.67821478,1.61278385671974,1.24715461,1.04139268515823,1.24715461,0.636822098,1.04139268515823,1.15634720,0.884606581,0.636822098,0.884606581,1.32221929473392,1.38620161,1.44195684,1.70757017609794,1.38620161,1.44195684,1.15634720,0.636822098,1.32221929473392,1.44195684,0.636822098,1.32221929473392,0,0.636822098,0
A,0,1.04139268515823,1.38620161,1.32221929473392,1.32221929473392,1.44195684,1.15634720,1.61278385671974,1.15634720,1.67821478,1.15634720,1.32221929473392,1.15634720,1.04139268515823,1.32221929473392,1.49136169383427,0.636822098,1.32221929473392,0.884606581,0,0.636822098,0,1.15634720,0,0.636822098,0,0,1.15634720,0,0,0,0,0,0,0
A,1.92599927,1.90848501887865,2.1281838,1.95904139232109,2.1060775,1.92599927,1.44195684,1.38620161,1.04139268515823,1.15634720,0.884606581,1.15634720,2.2244467,2.1388288,1.44195684,0,0.884606581,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.76092485,1.95904139232109,1.83037478,2.00432137378264,1.49136169383427,1.57595719,1.04139268515823,0.884606581,0.636822098,1.24715461,1.04139268515823,1.04139268515823,0.636822098,0.636822098,1.04139268515823,1.24715461,0.884606581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.04139268515823,1.53571597,2.00432137378264,1.90848501887865,1.85125834871908,1.73506635,1.49136169383427,1.49136169383427,1.32221929473392,1.04139268515823,1.15634720,1.32221929473392,1.24715461,1.15634720,1.15634720,1.04139268515823,1.04139268515823,1.04139268515823,0.636822098,0.636822098,0,0,0,0.884606581,0.636822098,0,0,0,0,0,0,0,0,0,0
A,0.636822098,0.636822098,1.98974637,1.98974637,2.1884597,1.78532983501077,2.0320813,1.53571597,1.76092485,1.67821478,1.24715461,1.67821478,1.49136169383427,1.24715461,0.636822098,0.884606581,0,0,0.884606581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0.636822098,1.32221929473392,1.61278385671974,1.83037478,1.90848501887865,2.0945876,1.89023467,1.94283449,1.64673039,1.24715461,1.15634720,0,0,0.636822098,1.04139268515823,1.04139268515823,0,0,0,0,0,0.884606581,1.53571597,1.32221929473392,0,0,0.636822098,0,1.04139268515823,0.636822098,0,0,0,0
