Cycle,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
A,2.9166878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,3.092604,0,0,0,0,0,0,0,1.57595719,0,0,0,0,1.04139268515823,0.636822098,0,0,0.884606581,0.636822098,1.92599927,2.4880804,2.4588895,2.2413804,1.15634720,0.884606581,0.884606581,1.49136169383427,2.2413804,2.3759683,1.94283449,0,0,0.636822098,2.5548255,2.6389328
A,3.470133,3.44731310882357,2.7506798,0,0,0,1.04139268515823,1.76092485,0,0.636822098,0.636822098,0,0,0,0,1.64673039,0,0,0,0,0.636822098,0.884606581,0,0,0,0,1.53571597,2.4382786,0.884606581,0,0,0,0,2.2413804,2.3759683
A,3.111300,2.959518376973,0,0,0,0,0.884606581,0,0,0,0,0,1.94283449,2.2496060,0,0,0,0,0.884606581,1.04139268515823,0.884606581,0.636822098,0.884606581,0,0,0,0,0,0,0,0,0,0,0,0
A,0.636822098,0,0,0,0,0,0,0,0,0,1.24715461,1.92599927,0,0,0,0.636822098,2.1884597,2.8552499,2.8061046,2.9131660,2.7591640,2.6389328,2.9102092,3.33264041038746,3.041349,3.163658,3.227287,3.106795,3.070612,2.9989855,2.8851727,2.4504202,2.1692825,1.87118361,2.0320813
A,2.6791249,0,0,1.04139268515823,0,0,0.884606581,0,0,0,0,0.636822098,1.85125834871908,2.17897694729317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884606581,0,0,1.04139268515823,0,0
A,3.646175,3.041349,0,0,0,0,0.884606581,0.636822098,0,0,0,0,0.884606581,0.636822098,0,0,0,2.8394780473742,2.5227340,2.7884041,2.8559228,2.7591640,2.7214442,3.001878,3.041349,2.7884041,3.020683,2.8704689,2.9265139,2.7699514,2.6871324,2.5227340,1.90848501887865,1.49136169383427,0.884606581
A,3.692151,3.45803319249651,3.115389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636822098,0,0
A,3.638478,3.50799072481969,3.47871075551276,3.001878,0,0,0,0,0,0,0,0,2.5847081,2.5847081,2.6871324,1.89023467,0.636822098,1.15634720,1.44195684,1.78532983501077,2.8839137,2.8559228,2.9102092,0,0,0,1.90848501887865,2.2244467,2.0184231,0.636822098,0,1.44195684,0.636822098,2.08278537031645,2.1977399
B,0.636822098,1.04139268515823,0.884606581,0,0,0,0,0,0,2.8552499,2.93500315145365,3.210972,2.4504202,0,0,1.53571597,0.636822098,0,0,0,0,0.636822098,0,1.04139268515823,0.884606581,0.636822098,1.76092485,0,0,0,0.636822098,0.884606581,1.04139268515823,0,0
B,3.39637372753651,0,0,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,3.195561,2.6126661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15634720,0,0,0,0,0
B,3.141241,3.281513,3.001878,0,0,0,0,0,0,0,0.636822098,0,0,0.636822098,0.884606581,1.24715461,1.44195684,1.32221929473392,1.15634720,1.15634720,0,0,0,0.884606581,1.24715461,1.15634720,3.001878,3.12417805547468,2.93500315145365,2.9877159,0,0.636822098,0.884606581,2.2885473,2.0184231
B,0,0,0.636822098,0,0.636822098,0.636822098,1.64673039,0.884606581,0.884606581,0,0,0,0,0,0,3.438964,3.234939,1.67821478,0,0.636822098,0,0,0,1.76092485,2.1060775,2.1977399,2.7591640,2.8260028,3.170881,2.1884597,3.098028,2.9520386,3.06107532362979,2.2733871,2.32428245529769
B,3.138092,0,0,0,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636822098,0,0,0,0,0,0,0,0,0
B,3.638478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0.884606581,0,0,0,0,0
B,3.590185,3.57760667736254,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,3.721435,3.56122067893394,3.505436,3.106795,0,0,0,1.44195684,2.36361197989214,0,0,0,0,0,3.834131,3.47871075551276,2.80002935924413,0,0,0.636822098,2.00432137378264,1.83037478,2.0581729,2.4221519,2.6126661,2.4435237,2.9102092,3.001878,2.8839137,2.0581729,2.8993949,2.8993949,2.9131660,1.44195684,1.78532983501077
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636822098,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636822098,0,0,0,0,0
C,2.99166900737995,1.61278385671974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,3.307472,3.20709554041922,1.04139268515823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,3.655128,3.37675939540488,3.312906,0,0,0,0,0,1.04139268515823,1.98974637,0,0.636822098,0,0,0,1.15634720,0,0,0,0.636822098,1.32221929473392,0,0.636822098,0,1.04139268515823,0,0,1.61278385671974,1.24715461,0,0.884606581,0,0,0.636822098,0.884606581
C,0,0,0,0,0,0,0,0,0,2.1388288,2.4538278,3.588197,0,0,0.884606581,3.198015,3.12417805547468,3.123815,2.9877159,3.198015,1.90848501887865,2.6801340,2.9102092,3.198015,3.022062,3.292231,3.06107532362979,2.8839137,2.7305131,2.7305131,2.6126661,2.8704689,2.7093642,2.5847081,2.5847081
C,3.044409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,3.702134,2.8704689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,3.4900990050633,3.22556771343947,0,0,0,0,0,1.38620161,0.636822098,0,0,0.636822098,0.636822098,0,0.636822098,0.636822098,0,2.08278537031645,0.884606581,0.636822098,1.90848501887865,1.15634720,0,1.67821478,1.53571597,0.636822098,1.15634720,1.44195684,1.15634720,0,0.636822098,1.89023467,1.61278385671974,1.97466518,1.83037478
C,3.535842,3.509038,3.198015,1.04139268515823,0,0,0,0.884606581,1.38620161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,2.0706535,1.15634720,0,0,0,0,0,0,1.76092485,2.4588895,2.5227340,0.636822098,0.636822098,0,1.53571597,1.80843605,1.04139268515823,0.636822098,0,0.636822098,0,0,0,1.61278385671974,1.44195684,1.80843605
D,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,2.66370092538965,0,0,0,0,0,0,0,0,0,1.61278385671974,1.87118361,0,0,0,0,0,0,0,0,0.884606581,0.636822098,0,1.15634720,1.38620161,0,0,0.636822098,1.32221929473392,0,0,0,0,0.636822098,0
D,3.031139,1.04139268515823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,3.092604,3.170881,1.49136169383427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0.636822098,0,0,0,1.38620161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,1.04139268515823,0,0,0,0,0,0.884606581,0.636822098,1.97466518,0,0,0.884606581,0,0,0,0.884606581,0,0,0.636822098,0,1.49136169383427,0,0,2.28103336724773,2.2959334,2.0320813,0,0,0.884606581,1.61278385671974,0,1.15634720,0,0,0
D,3.705284,3.450232,1.04139268515823,0,0,0,0,1.73506635,2.8704689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,3.598414,3.457529,1.15634720,0,0,0,1.53571597,2.1060775,1.80843605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,3.649757,3.65137494391304,3.170881,0,0,0,0.884606581,2.0320813,2.23299611039215,0.636822098,0.636822098,0,0,0,0,0,0,0,0,0.636822098,0.636822098,0,0,2.3508938,2.30319605742049,2.4880804,3.077529,0.884606581,0,1.24715461,0,0,1.15634720,1.24715461,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5227340,2.5227340,2.8993949,2.6389328,2.3572994,2.0706535,2.4880804,2.5227340,1.80843605
E,3.32654066851656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,3.361287,0,0,0,0,0,0,0,1.38620161,1.04139268515823,0,0,0,1.24715461,2.7093642,2.1388288,0.884606581,0,0,0,0,1.15634720,1.70757017609794,2.2244467,2.23299611039215,2.3759683,2.5847081,2.3572994,2.5847081,2.9265139,2.20682587603185,1.90848501887865,3.041349,2.7506798,2.1692825
E,3.556021,3.259249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,3.150552,2.8552499,0,0,0,0,0,0,1.73506635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,2.2733871,3.74826557266874,3.63052957142682,2.9102092,0,1.61278385671974,1.85125834871908,2.7884041,2.7884041,3.020683,2.9102092,3.094549,3.141937,3.041349,2.8704689,3.001878,3.247673,2.8552499,2.9520386,2.1884597,2.1388288,3.352161,2.08278537031645,2.0581729,1.73506635,2.1060775,2.23299611039215
E,3.637034,0,0,0,0,0,0,0,1.38620161,0,0,0,0.636822098,0.636822098,1.15634720,0,0,1.53571597,1.32221929473392,1.53571597,0,0,0,0,0,2.0581729,2.5548255,2.3508938,2.66370092538965,2.9265139,2.7305131,2.4538278,2.4880804,2.3377919,2.3879827
E,3.577734,3.442811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,3.577224,3.76945117940204,3.369607,0,0,0,0,0,0,1.64673039,0.636822098,0,1.04139268515823,2.4504202,2.2413804,0,0,1.38620161,0,0,0,0,0,2.3572994,2.4880804,2.6871324,2.5227340,2.14921911265538,2.3508938,2.5548255,2.3508938,1.85125834871908,2.00432137378264,2.11727129565576,2.1884597
F,3.261633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636822098,0,0
F,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0706535,0,0,0,0,0
F,3.32654066851656,0,0,0,0,0,0,0.636822098,0,0,1.85125834871908,2.66370092538965,2.7699514,2.93500315145365,2.66370092538965,2.8559228,2.8559228,2.7699514,2.0581729,3.059816,2.7093642,2.4504202,2.8851727,2.6389328,2.6871324,2.4504202,2.1884597,2.0581729,2.4504202,2.7506798,2.1281838,2.4880804,2.14921911265538,2.3698341,2.3938676
F,3.150552,2.96425963019685,0,0,0,0,0,0,2.3656959,0,0,2.4504202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57595719,2.4435237,2.5548255,2.38201704257487,2.2157257,2.5548255,2.3103392,2.2496060,2.1281838
F,3.049175,3.210972,2.71683772329952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04139268515823,1.97466518,2.0581729,3.123815,2.1593666,2.3572994,2.41664050733828,2.38201704257487,2.3103392
F,0,0,0,0,0,0,0,0,0,0.636822098,3.76945117940204,3.871566,3.41178800454387,3.14643813528577,3.45803319249651,3.48869169831694,3.33264041038746,3.299798,3.337104,3.270524,3.259249,2.5548255,2.9877159,2.9761461,2.7506798,2.44870631990508,2.3759683,2.4538278,2.6126661,2.8394780473742,2.3173668,2.5847081,2.5548255,2.6389328,2.5227340
F,0,0,0,0,0,0,0,0,0,0,0,0,2.0581729,2.93500315145365,1.15634720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,3.588197,2.8552499,0,0,0,0,0,0,0,1.04139268515823,0,0.884606581,1.32221929473392,1.38620161,2.2959334,2.1593666,1.87118361,2.4737302,2.0706535,1.85125834871908,0.884606581,0.636822098,0,1.32221929473392,1.24715461,1.85125834871908,2.66370092538965,1.61278385671974,0.636822098,0,0,0,0.636822098,0.884606581,0
F,3.672498,0.636822098,0,0,0,0,0,0,0,1.92599927,2.5227340,0,0.636822098,0,0,0.884606581,1.04139268515823,0,0.636822098,0,0,0.636822098,0,0,0,0.636822098,0,0.636822098,0,0,0,0.636822098,0,0,0.636822098
F,3.626899,3.37675939540488,0,0,0,0,0,0,0,0,2.2157257,1.78532983501077,0,0,1.57595719,0,0,0.636822098,0,0.636822098,0,0.884606581,0,0.884606581,0,0,1.32221929473392,0,0.636822098,0.636822098,0,0,0,0,0
