Enrichment,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
High,3.401189853,3.671471118,3.602771169,3.730773306,3.649756614,3.721435035,3.77467103,3.671471118,3.660749566,3.791058744,3.77467103,3.715529816,3.779187494,3.726808683,3.758987547,3.715529816,3.82592353,3.739915004,3.791058744,3.739915004,3.234938888,3.262951809,3.172829878,3.739915004,3.473713993,3.35981441,3.505888254,3.379990017,3.169249792,3.521268876,3.18465989,2.910209238,2.409181423,2.584708053,2.450420191
High,3.671471118,3.782942179,3.757640609,3.692151413,3.721435035,3.649756614,3.806850501,3.438964045,3.35981441,3.739915004,3.829511041,3.703950203,3.715529816,3.941892226,3.948624845,3.935053589,3.667234973,3.71189155,3.829511041,3.851047607,3.563863265,3.490099005,3.577223634,3.563863265,3.766239293,3.649756614,3.822088132,3.856990556,3.764250875,3.680929479,3.270523565,3.37837771,2.612666146,2.409181423,2.554825536
High,3.799026396,3.563863265,3.638478164,3.77467103,3.884726153,3.8974988,4.003120508,3.921969556,3.927877713,3.681934349,3.681934349,3.986965706,3.788945727,3.928105543,3.79848951,3.550758154,3.414583422,3.438964045,3.401189853,3.401189853,3.401189853,3.172829878,3.314077992,3.337547997,3.490099005,3.602771169,3.473713993,3.307472266,3.412161768,3.169249792,3.022061607,2.958457699,2.638932754,2.730513113,2.554825536
High,3.535842445,3.721435035,3.814536141,3.535842445,3.836809208,3.884726153,3.972454843,3.961732135,3.857995496,3.972454843,3.791058744,3.82592353,3.533729703,3.73780203,3.748523958,3.703950203,3.758987547,3.730773306,3.692151413,3.791058744,3.62689899,3.490099005,3.577223634,3.35981441,3.615002615,3.438964045,3.671471118,3.442113783,3.427395937,3.079141032,3.170880763,3.041348815,2.730513113,2.687132436,2.709364199
High,3.766239293,3.730773306,3.692151413,3.638478164,3.289266803,3.739915004,3.843986756,3.972454843,3.671471118,3.972454843,3.806850501,3.968218244,3.436851457,3.640911874,3.414583422,3.36629841,3.567144045,3.62689899,3.550078805,3.473713993,3.337547997,3.13809208,3.289266803,3.380994677,3.438964045,3.380994677,3.314077992,3.243836967,3.044409087,2.206825876,3.411788005,2.638932754,2.149219113,2.27338714,2.375968275
High,3.204993724,3.671471118,3.660749566,3.730773306,3.730773306,3.681934349,3.535842445,3.799026396,3.71189155,3.950737967,3.730773306,3.961784831,3.703950203,3.859998425,3.640911874,3.788945727,3.834696157,3.822088132,3.638478164,3.602771169,3.314077992,3.314077992,3.401189853,3.638478164,3.59018523,3.721435035,3.660749566,3.533164564,3.470132699,3.655127759,3.521268876,3.450231996,2.450420191,2.638932754,2.409181423
High,3.77467103,3.843986756,3.822088132,3.851047607,3.59018523,3.8974988,3.822088132,4.05426824,3.822088132,3.977718526,3.988058283,4.027797943,3.899145381,3.758987547,3.654272827,3.436851457,3.726808683,3.660749566,3.59018523,3.638478164,3.100332246,3.204993724,3.314077992,3.262951809,3.420487512,3.45668649,3.71189155,3.427395937,3.618152733,3.618152733,3.535420718,2.976146109,1.974665181,2.106077519,2.138828797
High,3.730773306,3.791058744,3.8974988,3.577223634,3.692151413,3.739915004,3.757640609,3.87156645,3.998157584,3.791058744,3.806850501,3.843295083,3.58293411,3.899145381,3.31196566,3.135980262,3.31196566,3.380994677,3.401189853,3.420487512,3.13809208,3.505888254,3.172829878,3.401189853,3.35981441,3.563863265,3.262951809,3.663899761,3.266100976,3.598413541,3.396373728,3.001877877,2.488080446,2.584708053,2.409181423
High,3.748868233,3.730773306,3.822088132,3.671471118,3.59018523,3.550078805,3.615002615,3.721435035,3.77467103,3.814536141,3.851047607,3.654272827,3.769204953,3.921044528,3.533729703,3.478229703,3.33998115,3.204993724,3.438964045,3.380994677,3.660749566,3.420487512,3.59018523,3.401189853,3.535842445,3.337547997,3.45668649,3.544743089,3.45634916,3.608395274,3.401572846,2.910209238,0,2.78840408,2.045322979
High,3.739915004,3.77467103,3.681934349,3.638478164,3.660749566,3.681934349,3.521123549,3.857995496,3.8974988,3.822088132,3.933706573,3.941892226,3.715529816,3.726808683,3.391111614,3.391111614,3.478229703,3.314077992,3.262951809,3.314077992,3.234938888,3.380994677,3.100332246,3.420487512,3.13809208,3.262951809,3.314077992,3.141240676,3.287279068,3.646174918,3.680929479,3.342181339,1.424155392,2.976146109,2.899394873
