ALE1,ALE2,ALE3,ALE4,ALE5,AHE1,AHE2,AHE3,AHE4,AHE5,BLE1,BLE2,BLE3,BLE4,BLE5,BHE1,BHE2,BHE3,BHE4,BHE5,CLE1,CLE2,CLE3,CLE4,CLE5,CHE1,CHE2,CHE3,CHE4,CHE5,DLE1,DLE2,DLE3,DLE4,DLE5,DHE1,DHE2,DHE3,DHE4,DHE5,ELE1,ELE2,ELE3,ELE4,ELE5,EHE1,EHE2,EHE3,EHE4,EHE5,FLE1,FLE2,FLE3,FLE4,FLE5,FHE1,FHE2,FHE3,FHE4,FHE5
23.33333333,0,6.666666667,0,0,83.33333333,56.66666667,10,3.333333333,0,13.33333333,13.33333333,0,6.666666667,0,96.66666667,36.66666667,10,6.666666667,0,30,46.66666667,3.333333333,3.333333333,0,110,76.66666667,10,3.333333333,0,13.33333333,30,6.666666667,3.333333333,3.333333333,120,116.6666667,6.666666667,0,0,50,33.33333333,0,0,0,73.33333333,123.3333333,20,0,0,6.666666667,3.333333333,16.66666667,6.666666667,0,43.33333333,70,3.333333333,0,0
30,13.33333333,6.666666667,3.333333333,10,80,90,33.33333333,3.333333333,3.333333333,20,6.666666667,26.66666667,26.66666667,3.333333333,83.33333333,93.33333333,110,13.33333333,0,26.66666667,33.33333333,3.333333333,3.333333333,3.333333333,76.66666667,106.6666667,63.33333333,10,0,6.666666667,36.66666667,26.66666667,20,10,110,136.6666667,40,16.66666667,3.333333333,73.33333333,133.3333333,46.66666667,40,6.666666667,100,126.6666667,76.66666667,26.66666667,10,46.66666667,20,70,10,10,106.6666667,110,36.66666667,50,13.33333333
16.66666667,16.66666667,16.66666667,63.33333333,23.33333333,133.3333333,66.66666667,100,96.66666667,20,20,3.333333333,40,16.66666667,23.33333333,80,83.33333333,153.3333333,140,6.666666667,10,33.33333333,16.66666667,20,20,133.3333333,100,86.66666667,33.33333333,30,13.33333333,36.66666667,26.66666667,23.33333333,20,70,100,113.3333333,93.33333333,26.66666667,110,100,30,83.33333333,23.33333333,116.6666667,96.66666667,83.33333333,106.6666667,53.33333333,46.66666667,10,53.33333333,23.33333333,6.666666667,36.66666667,116.6666667,56.66666667,73.33333333,36.66666667
23.33333333,10,13.33333333,50,20,90,100,80,96.66666667,40,23.33333333,23.33333333,36.66666667,26.66666667,33.33333333,93.33333333,100,133.3333333,183.3333333,16.66666667,36.66666667,53.33333333,20,66.66666667,73.33333333,76.66666667,153.3333333,96.66666667,53.33333333,53.33333333,23.33333333,33.33333333,16.66666667,6.666666667,30,100,116.6666667,106.6666667,76.66666667,73.33333333,63.33333333,96.66666667,33.33333333,126.6666667,16.66666667,133.3333333,113.3333333,126.6666667,156.6666667,73.33333333,53.33333333,40,50,33.33333333,10,60,90,76.66666667,63.33333333,46.66666667
10,3.333333333,23.33333333,103.3333333,20,126.6666667,30,70,153.3333333,66.66666667,16.66666667,6.666666667,40,26.66666667,63.33333333,56.66666667,103.3333333,100,200,20,33.33333333,26.66666667,26.66666667,70,96.66666667,96.66666667,110,90,70,23.33333333,10,23.33333333,26.66666667,16.66666667,20,66.66666667,90,80,70,66.66666667,83.33333333,163.3333333,50,136.6666667,30,116.6666667,83.33333333,83.33333333,130,80,60,13.33333333,60,20,13.33333333,26.66666667,70,63.33333333,90,56.66666667
6.666666667,13.33333333,33.33333333,103.3333333,26.66666667,83.33333333,36.66666667,53.33333333,60,80,13.33333333,0,66.66666667,30,53.33333333,40,76.66666667,66.66666667,70,63.33333333,16.66666667,23.33333333,26.66666667,53.33333333,63.33333333,73.33333333,56.66666667,93.33333333,70,63.33333333,20,30,16.66666667,13.33333333,50,53.33333333,70,60,106.6666667,40,60,123.3333333,46.66666667,130,40,36.66666667,83.33333333,110,166.6666667,173.3333333,56.66666667,13.33333333,76.66666667,33.33333333,16.66666667,46.66666667,96.66666667,53.33333333,96.66666667,80
0,10,0,70,13.33333333,26.66666667,10,30,106.6666667,123.3333333,3.333333333,0,10,6.666666667,50,6.666666667,63.33333333,66.66666667,70,3.333333333,3.333333333,23.33333333,16.66666667,73.33333333,96.66666667,56.66666667,40,40,20,50,3.333333333,23.33333333,10,6.666666667,3.333333333,3.333333333,10,0,6.666666667,0,20,13.33333333,13.33333333,116.6666667,20,16.66666667,53.33333333,50,140,66.66666667,26.66666667,0,50,16.66666667,30,63.33333333,63.33333333,50,36.66666667,33.33333333
0,13.33333333,3.333333333,63.33333333,40,23.33333333,6.666666667,30,33.33333333,76.66666667,10,0,3.333333333,6.666666667,6.666666667,10,46.66666667,60,3.333333333,6.666666667,0,10,0,86.66666667,30,13.33333333,13.33333333,10,6.666666667,3.333333333,0,23.33333333,6.666666667,3.333333333,13.33333333,10,6.666666667,0,3.333333333,3.333333333,3.333333333,0,3.333333333,70,23.33333333,10,10,6.666666667,113.3333333,46.66666667,26.66666667,0,60,3.333333333,33.33333333,53.33333333,20,36.66666667,13.33333333,30
3.333333333,3.333333333,10,86.66666667,13.33333333,10,3.333333333,20,56.66666667,86.66666667,0,0,0,3.333333333,10,13.33333333,23.33333333,16.66666667,0,10,0,6.666666667,3.333333333,83.33333333,20,0,3.333333333,0,6.666666667,16.66666667,3.333333333,13.33333333,6.666666667,3.333333333,0,10,13.33333333,0,23.33333333,6.666666667,3.333333333,0,6.666666667,13.33333333,6.666666667,0,0,3.333333333,30,0,30,6.666666667,46.66666667,0,16.66666667,20,16.66666667,33.33333333,36.66666667,16.66666667
0,10,16.66666667,46.66666667,46.66666667,13.33333333,16.66666667,10,46.66666667,43.33333333,3.333333333,0,0,0,13.33333333,20,20,26.66666667,0,3.333333333,3.333333333,3.333333333,0,56.66666667,16.66666667,0,0,0,6.666666667,20,0,6.666666667,0,3.333333333,0,13.33333333,20,33.33333333,33.33333333,20,0,0,33.33333333,0,6.666666667,0,0,6.666666667,13.33333333,3.333333333,3.333333333,3.333333333,3.333333333,20,3.333333333,13.33333333,6.666666667,16.66666667,3.333333333,3.333333333
